Date: 01-May-2003
Time: 13:05:00
Label: 
Cyclic Voltammetry

Exp. Conditions:
Init E (mV) = 550
High E (mV) = 550
Low E (mV) = -50
Init P/N = N
V (mV/sec) = 200
Number of Segments = 2
Sample Interval (mV) = 1
Quiet Time (sec) = 10
Sensitivity (A/V) = 1E-4

2 Sets of Data
Total Number of Data Points = 1200
##
Potential (mV), Current (A)

Segment = 1
Negative
Number of Data Points = 600
#
549.0, +1.634e-006
548.0, +3.474e-006
547.0, +3.674e-006
546.0, +4.142e-006
545.0, +4.569e-006
544.0, +4.765e-006
543.0, +5.005e-006
542.0, +5.149e-006
541.0, +5.297e-006
540.0, +5.284e-006
539.0, +5.367e-006
538.0, +5.628e-006
537.0, +5.593e-006
536.0, +5.528e-006
535.0, +5.668e-006
534.0, +5.685e-006
533.0, +5.707e-006
532.0, +5.567e-006
531.0, +5.528e-006
530.0, +5.720e-006
529.0, +5.668e-006
528.0, +5.554e-006
527.0, +5.685e-006
526.0, +5.733e-006
525.0, +5.790e-006
524.0, +5.672e-006
523.0, +5.620e-006
522.0, +5.772e-006
521.0, +5.694e-006
520.0, +5.598e-006
519.0, +5.707e-006
518.0, +5.781e-006
517.0, +5.816e-006
516.0, +5.707e-006
515.0, +5.716e-006
514.0, +5.907e-006
513.0, +5.868e-006
512.0, +5.798e-006
511.0, +5.864e-006
510.0, +5.951e-006
509.0, +5.973e-006
508.0, +5.807e-006
507.0, +5.772e-006
506.0, +5.916e-006
505.0, +5.846e-006
504.0, +5.803e-006
503.0, +5.855e-006
502.0, +5.929e-006
501.0, +5.955e-006
500.0, +5.851e-006
499.0, +5.846e-006
498.0, +5.986e-006
497.0, +5.890e-006
496.0, +5.864e-006
495.0, +5.929e-006
494.0, +6.047e-006
493.0, +6.069e-006
492.0, +5.977e-006
491.0, +5.977e-006
490.0, +6.117e-006
489.0, +6.021e-006
488.0, +6.016e-006
487.0, +6.051e-006
486.0, +6.169e-006
485.0, +6.252e-006
484.0, +6.182e-006
483.0, +6.182e-006
482.0, +6.304e-006
481.0, +6.199e-006
480.0, +6.199e-006
479.0, +6.260e-006
478.0, +6.274e-006
477.0, +6.343e-006
476.0, +6.287e-006
475.0, +6.287e-006
474.0, +6.461e-006
473.0, +6.444e-006
472.0, +6.439e-006
471.0, +6.553e-006
470.0, +6.553e-006
469.0, +6.609e-006
468.0, +6.574e-006
467.0, +6.587e-006
466.0, +6.688e-006
465.0, +6.631e-006
464.0, +6.592e-006
463.0, +6.731e-006
462.0, +6.814e-006
461.0, +6.849e-006
460.0, +6.771e-006
459.0, +6.784e-006
458.0, +6.923e-006
457.0, +6.849e-006
456.0, +6.805e-006
455.0, +6.862e-006
454.0, +6.975e-006
453.0, +6.989e-006
452.0, +6.893e-006
451.0, +6.875e-006
450.0, +7.010e-006
449.0, +6.914e-006
448.0, +6.897e-006
447.0, +6.923e-006
446.0, +7.050e-006
445.0, +7.145e-006
444.0, +7.058e-006
443.0, +7.058e-006
442.0, +7.198e-006
441.0, +7.137e-006
440.0, +7.145e-006
439.0, +7.167e-006
438.0, +7.202e-006
437.0, +7.307e-006
436.0, +7.259e-006
435.0, +7.259e-006
434.0, +7.411e-006
433.0, +7.398e-006
432.0, +7.394e-006
431.0, +7.451e-006
430.0, +7.451e-006
429.0, +7.503e-006
428.0, +7.477e-006
427.0, +7.468e-006
426.0, +7.560e-006
425.0, +7.542e-006
424.0, +7.551e-006
423.0, +7.690e-006
422.0, +7.765e-006
421.0, +7.791e-006
420.0, +7.725e-006
419.0, +7.717e-006
418.0, +7.847e-006
417.0, +7.778e-006
416.0, +7.738e-006
415.0, +7.804e-006
414.0, +7.926e-006
413.0, +7.983e-006
412.0, +7.961e-006
411.0, +7.969e-006
410.0, +8.126e-006
409.0, +8.092e-006
408.0, +8.092e-006
407.0, +8.157e-006
406.0, +8.240e-006
405.0, +8.318e-006
404.0, +8.257e-006
403.0, +8.270e-006
402.0, +8.423e-006
401.0, +8.418e-006
400.0, +8.410e-006
399.0, +8.527e-006
398.0, +8.571e-006
397.0, +8.632e-006
396.0, +8.597e-006
395.0, +8.636e-006
394.0, +8.780e-006
393.0, +8.741e-006
392.0, +8.737e-006
391.0, +8.837e-006
390.0, +8.977e-006
389.0, +9.094e-006
388.0, +9.046e-006
387.0, +9.068e-006
386.0, +9.290e-006
385.0, +9.308e-006
384.0, +9.369e-006
383.0, +9.504e-006
382.0, +9.613e-006
381.0, +9.683e-006
380.0, +9.648e-006
379.0, +9.700e-006
378.0, +9.848e-006
377.0, +9.792e-006
376.0, +9.796e-006
375.0, +9.888e-006
374.0, +1.003e-005
373.0, +1.018e-005
372.0, +1.014e-005
371.0, +1.027e-005
370.0, +1.054e-005
369.0, +1.054e-005
368.0, +1.061e-005
367.0, +1.075e-005
366.0, +1.089e-005
365.0, +1.106e-005
364.0, +1.104e-005
363.0, +1.116e-005
362.0, +1.144e-005
361.0, +1.152e-005
360.0, +1.168e-005
359.0, +1.190e-005
358.0, +1.211e-005
357.0, +1.229e-005
356.0, +1.231e-005
355.0, +1.244e-005
354.0, +1.267e-005
353.0, +1.271e-005
352.0, +1.282e-005
351.0, +1.304e-005
350.0, +1.332e-005
349.0, +1.360e-005
348.0, +1.366e-005
347.0, +1.389e-005
346.0, +1.424e-005
345.0, +1.433e-005
344.0, +1.450e-005
343.0, +1.478e-005
342.0, +1.505e-005
341.0, +1.538e-005
340.0, +1.552e-005
339.0, +1.580e-005
338.0, +1.629e-005
337.0, +1.652e-005
336.0, +1.675e-005
335.0, +1.715e-005
334.0, +1.757e-005
333.0, +1.799e-005
332.0, +1.821e-005
331.0, +1.855e-005
330.0, +1.909e-005
329.0, +1.938e-005
328.0, +1.967e-005
327.0, +2.008e-005
326.0, +2.056e-005
325.0, +2.104e-005
324.0, +2.132e-005
323.0, +2.171e-005
322.0, +2.237e-005
321.0, +2.282e-005
320.0, +2.325e-005
319.0, +2.381e-005
318.0, +2.447e-005
317.0, +2.515e-005
316.0, +2.557e-005
315.0, +2.609e-005
314.0, +2.687e-005
313.0, +2.744e-005
312.0, +2.806e-005
311.0, +2.879e-005
310.0, +2.964e-005
309.0, +3.055e-005
308.0, +3.120e-005
307.0, +3.200e-005
306.0, +3.309e-005
305.0, +3.387e-005
304.0, +3.462e-005
303.0, +3.547e-005
302.0, +3.644e-005
301.0, +3.746e-005
300.0, +3.821e-005
299.0, +3.911e-005
298.0, +4.036e-005
297.0, +4.131e-005
296.0, +4.228e-005
295.0, +4.342e-005
294.0, +4.474e-005
293.0, +4.604e-005
292.0, +4.705e-005
291.0, +4.817e-005
290.0, +4.973e-005
289.0, +5.099e-005
288.0, +5.222e-005
287.0, +5.359e-005
286.0, +5.518e-005
285.0, +5.678e-005
284.0, +5.817e-005
283.0, +5.970e-005
282.0, +6.165e-005
281.0, +6.333e-005
280.0, +6.489e-005
279.0, +6.662e-005
278.0, +6.853e-005
277.0, +7.036e-005
276.0, +7.180e-005
275.0, +7.347e-005
274.0, +7.562e-005
273.0, +7.745e-005
272.0, +7.917e-005
271.0, +8.105e-005
270.0, +8.326e-005
269.0, +8.552e-005
268.0, +8.728e-005
267.0, +8.919e-005
266.0, +9.165e-005
265.0, +9.372e-005
264.0, +9.570e-005
263.0, +9.783e-005
262.0, +1.003e-004
261.0, +1.028e-004
260.0, +1.048e-004
259.0, +1.070e-004
258.0, +1.099e-004
257.0, +1.124e-004
256.0, +1.148e-004
255.0, +1.172e-004
254.0, +1.199e-004
253.0, +1.227e-004
252.0, +1.247e-004
251.0, +1.268e-004
250.0, +1.295e-004
249.0, +1.319e-004
248.0, +1.341e-004
247.0, +1.363e-004
246.0, +1.389e-004
245.0, +1.416e-004
244.0, +1.436e-004
243.0, +1.459e-004
242.0, +1.487e-004
241.0, +1.511e-004
240.0, +1.533e-004
239.0, +1.554e-004
238.0, +1.580e-004
237.0, +1.606e-004
236.0, +1.625e-004
235.0, +1.645e-004
234.0, +1.671e-004
233.0, +1.694e-004
232.0, +1.715e-004
231.0, +1.737e-004
230.0, +1.762e-004
229.0, +1.787e-004
228.0, +1.804e-004
227.0, +1.821e-004
226.0, +1.843e-004
225.0, +1.860e-004
224.0, +1.874e-004
223.0, +1.889e-004
222.0, +1.907e-004
221.0, +1.925e-004
220.0, +1.935e-004
219.0, +1.948e-004
218.0, +1.965e-004
217.0, +1.979e-004
216.0, +1.989e-004
215.0, +2.000e-004
214.0, +2.012e-004
213.0, +2.025e-004
212.0, +2.031e-004
211.0, +2.038e-004
210.0, +2.050e-004
209.0, +2.059e-004
208.0, +2.064e-004
207.0, +2.071e-004
206.0, +2.081e-004
205.0, +2.091e-004
204.0, +2.093e-004
203.0, +2.097e-004
202.0, +2.104e-004
201.0, +2.106e-004
200.0, +2.105e-004
199.0, +2.104e-004
198.0, +2.105e-004
197.0, +2.108e-004
196.0, +2.103e-004
195.0, +2.100e-004
194.0, +2.101e-004
193.0, +2.099e-004
192.0, +2.096e-004
191.0, +2.092e-004
190.0, +2.090e-004
189.0, +2.089e-004
188.0, +2.082e-004
187.0, +2.076e-004
186.0, +2.074e-004
185.0, +2.069e-004
184.0, +2.062e-004
183.0, +2.055e-004
182.0, +2.051e-004
181.0, +2.047e-004
180.0, +2.039e-004
179.0, +2.031e-004
178.0, +2.027e-004
177.0, +2.019e-004
176.0, +2.010e-004
175.0, +2.000e-004
174.0, +1.992e-004
173.0, +1.984e-004
172.0, +1.972e-004
171.0, +1.961e-004
170.0, +1.954e-004
169.0, +1.944e-004
168.0, +1.933e-004
167.0, +1.923e-004
166.0, +1.915e-004
165.0, +1.907e-004
164.0, +1.895e-004
163.0, +1.885e-004
